Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
STXBP2	Hunc18b, UNC18B	ENSG00000076944	Syntaxin binding protein 2	19	7636881-7647873	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA015564, HPA063868	Approved		Enhanced	Cytosol	Urothelial cancer:5.13e-6 (favourable), Endometrial cancer:2.29e-4 (favourable), Liver cancer:4.65e-4 (unfavourable), Thyroid cancer:7.68e-4 (favourable)	Expressed in all	Mixed			bone marrow: 125.3	Mixed		
SULF1	hSulf-1, KIAA1077, SULF-1	ENSG00000137573	Sulfatase 1	8	69466624-69660915	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA054728	Supported				Renal cancer:1.06e-7 (unfavourable)	Expressed in all	Tissue enhanced		smooth muscle: 105.4	prostate: 85.8	Cell line enhanced		BJ: 265.6;BJ hTERT+: 341.5;fHDF/TERT166: 405.6;WM-115: 176.0
SULF2	HSULF-2, KIAA1247, SULF-2	ENSG00000196562	Sulfatase 2	20	47656348-47786616	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002325	Approved				Cervical cancer:6.43e-5 (unfavourable), Renal cancer:4.02e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 166.9	Cell line enhanced		EFO-21: 318.0;hTCEpi: 589.4;MCF7: 529.8
SUMF1	FGE, UNQ3037	ENSG00000144455	Sulfatase modifying factor 1	3	3700814-4467281	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA038025	Uncertain				Renal cancer:4.79e-7 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 72.6	Expressed in all		
SUMF2	DKFZp566I1024	ENSG00000129103	Sulfatase modifying factor 2	7	56064002-56080670	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA024040, CAB025743, HPA074892	Enhanced		Uncertain	Vesicles<br>Plasma membrane	Cervical cancer:6.58e-6 (unfavourable), Endometrial cancer:3.96e-4 (favourable), Urothelial cancer:7.71e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 160.7	Expressed in all		
SUSD1	DKFZP761E1824	ENSG00000106868	Sushi domain containing 1	9	112040785-112175408	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA048554	Approved		Approved	Nucleoplasm	Renal cancer:3.63e-6 (favourable)	Expressed in all	Mixed			placenta: 21.5	Cell line enhanced		HEL: 50.2
SUSD5	KIAA0527	ENSG00000173705	Sushi domain containing 5	3	33150042-33219215	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA052788	Uncertain		Uncertain	Golgi apparatus<br>Vesicles		Tissue enhanced	Mixed			cerebral cortex: 11.0	Cell line enhanced		BJ hTERT+ SV40 Large T+: 26.7;HUVEC TERT2: 60.2;LHCN-M2: 23.3;TIME: 23.4
SVEP1	bA427L11.3, C9orf13, FLJ13529, POLYDOM	ENSG00000165124	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	9	110365251-110579880	Predicted secreted proteins	Evidence at protein level	HPA020610, HPA021520	Uncertain				Stomach cancer:8.33e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 87.2	adipose tissue: 36.7	Cell line enhanced		ASC diff: 101.0;ASC TERT1: 59.3;BJ hTERT+: 50.6;HHSteC: 45.2;HSkMC: 48.5
SYCN	FLJ27441, INSSA1, SYL	ENSG00000179751	Syncollin	19	39202831-39204266	Predicted secreted proteins	Evidence at protein level	HPA047654	Enhanced					Tissue enriched	Tissue enriched	401	pancreas: 6057.1	ovary: 15.0	Not detected		
TAC1	NKNA, NPK, TAC2	ENSG00000006128	Tachykinin precursor 1	7	97731908-97740472	Predicted secreted proteins	Evidence at protein level	CAB004588, HPA014429	Approved					Mixed	Tissue enhanced		cerebral cortex: 77.7;spleen: 47.0	appendix: 13.2	Cell line enriched	14	U-266/70: 16.5
TAC3	NKB, NKNB, ZNEUROK1	ENSG00000166863	Tachykinin 3	12	57010000-57028883	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA045919	Supported	Approved	Approved	Vesicles		Tissue enriched	Tissue enriched	23	placenta: 617.0	cerebral cortex: 27.2	Cell line enhanced		K-562: 13.1;SCLC-21H: 2.7
TAC4	HK-1, PPT-C, Pptc	ENSG00000176358	Tachykinin 4 (hemokinin)	17	49838309-49848017	Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		skin: 2.0	liver: 1.0	Cell line enhanced		A549: 2.3;BEWO: 5.7;CACO-2: 2.9
TAPBP	TAPA	ENSG00000231925	TAP binding protein	6	33299694-33314387	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007066	Approved				Breast cancer:2.76e-4 (favourable), Melanoma:6.29e-4 (favourable)	Expressed in all	Expressed in all			spleen: 30.7	Cell line enhanced		CAPAN-2: 67.6
TAPBPL	FLJ10143, TAPBP-R, TAPBPR	ENSG00000139192	TAP binding protein like	12	6451690-6466517	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA039545	Uncertain				Renal cancer:6.04e-5 (favourable), Breast cancer:1.98e-4 (favourable), Urothelial cancer:7.86e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 39.2	Cell line enhanced		CAPAN-2: 58.5
TBCA		ENSG00000171530	Tubulin folding cofactor A	5	77691166-77868780	Predicted intracellular proteins	Evidence at protein level	HPA036487	Approved		Supported	Nucleoli<br>Microtubules		Expressed in all	Expressed in all			adrenal gland: 305.8	Expressed in all		
TBL2	DKFZP43N024, WBSCR13, WS-betaTRP	ENSG00000106638	Transducin beta like 2	7	73568932-73578791	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007477, HPA051533			Supported	Cytosol	Renal cancer:1.88e-5 (unfavourable), Head and neck cancer:4.93e-4 (unfavourable)	Expressed in all	Tissue enriched	6	testis: 83.8	parathyroid gland: 13.0	Expressed in all		
TCF12	bHLHb20, HEB, HsT17266, HTF4	ENSG00000140262	Transcription factor 12	15	56918623-57299281	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	CAB004432, HPA065827	Approved		Supported	Nucleoplasm<br>Nuclear speckles	Renal cancer:5.24e-5 (unfavourable), Melanoma:8.89e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 116.2	Expressed in all		
TCN1	TC1, TCI	ENSG00000134827	Transcobalamin 1	11	59852800-59866575	Plasma proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:1.56e-8 (unfavourable), Breast cancer:1.90e-4 (favourable)	Tissue enhanced	Tissue enhanced		bone marrow: 123.8;gallbladder: 254.4;salivary gland: 315.5	stomach: 75.5	Cell line enhanced		CAPAN-2: 4.7;HaCaT: 4.6;PC-3: 6.4;SiHa: 7.7
TCN2	D22S676, D22S750, TC2	ENSG00000185339	Transcobalamin 2	22	30606838-30627278	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000837			Approved	Cytosol	Liver cancer:2.64e-4 (unfavourable), Cervical cancer:3.47e-4 (favourable)	Expressed in all	Expressed in all			kidney: 122.6	Cell line enhanced		ASC TERT1: 84.6;HUVEC TERT2: 123.3;Karpas-707: 137.2
TCTN1	FLJ21127, JBTS13, TECT1	ENSG00000204852	Tectonic family member 1	12	110614027-110649430	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA039687, HPA040036	Approved		Approved	Nucleoplasm<br>Actin filaments	Endometrial cancer:1.13e-5 (favourable)	Expressed in all	Mixed			fallopian tube: 42.2	Mixed		
TCTN3	C10orf61, DKFZP564D116, JBTS18, TECT3	ENSG00000119977	Tectonic family member 3	10	95663396-95694143	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026987	Approved		Approved	Microtubules	Endometrial cancer:5.77e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 138.1	Expressed in all		
TDP2	TTRAP	ENSG00000111802	Tyrosyl-DNA phosphodiesterase 2	6	24649977-24667033	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB073398, HPA074011	Enhanced		Supported	Nucleoplasm<br>Nuclear bodies	Ovarian cancer:2.53e-7 (favourable), Urothelial cancer:1.47e-5 (favourable), Prostate cancer:1.86e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 189.4	Expressed in all		
TEK	CD202b, TIE-2, TIE2, VMCM, VMCM1	ENSG00000120156	TEK receptor tyrosine kinase	9	27109141-27230175	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010359, HPA073265	Approved		Supported	Plasma membrane<br>Microtubule organizing center	Liver cancer:2.31e-5 (favourable), Renal cancer:7.81e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 65.9	lung: 42.6	Group enriched	8	HUVEC TERT2: 74.6;NTERA-2: 44.2;TIME: 80.0
TEPP		ENSG00000159648	Testis, prostate and placenta expressed	16	57976435-57988116	Predicted secreted proteins	Evidence at protein level	HPA062092	Enhanced					Tissue enhanced	Tissue enriched	9	testis: 7.3	thyroid gland: 0.8	Not detected		
TEX101	CT131, MGC4766, SGRG, SPATA44	ENSG00000131126	Testis expressed 101	19	43401496-43418597	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA041915, HPA042513	Enhanced					Mixed	Tissue enriched	108	testis: 173.9	skin: 1.6	Not detected		
TEX2	HT008, KIAA1738, TMEM96	ENSG00000136478	Testis expressed 2	17	64147227-64263301	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA020648, HPA057116	Approved		Approved	Nucleus	Colorectal cancer:3.90e-6 (favourable)	Expressed in all	Expressed in all			testis: 99.6	Expressed in all		
TF	PRO1557, PRO2086	ENSG00000091513	Transferrin	3	133745956-133779006	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001527, HPA005692, CAB009538	Enhanced		Uncertain	Mitochondria	Renal cancer:2.35e-13 (unfavourable), Breast cancer:4.05e-4 (favourable)	Tissue enriched	Tissue enriched	14	liver: 5391.9	cerebral cortex: 385.9	Cell line enriched	50	Hep G2: 842.8
TFAM	TCF6, TCF6L2	ENSG00000108064	Transcription factor A, mitochondrial	10	58385022-58399221	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA040648, HPA063684	Supported		Enhanced	Mitochondria	Renal cancer:2.22e-5 (favourable), Ovarian cancer:2.74e-4 (favourable), Endometrial cancer:8.73e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 62.3	Expressed in all		
TFF1	BCEI, D21S21, HP1.A, HPS2, pNR-2, pS2	ENSG00000160182	Trefoil factor 1	21	42362282-42366594	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB002170, HPA003425	Enhanced				Breast cancer:5.00e-4 (favourable), Endometrial cancer:5.67e-4 (favourable)	Group enriched	Tissue enriched	32	stomach: 6419.9	gallbladder: 203.1	Cell line enriched	49	MCF7: 8447.1
TFF2	SML1	ENSG00000160181	Trefoil factor 2	21	42346357-42351128	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB025834, HPA036705	Enhanced				Liver cancer:1.99e-4 (unfavourable)	Group enriched	Group enriched	29	duodenum: 1027.1;stomach: 5110.7	gallbladder: 107.1	Group enriched	20	CAPAN-2: 32.8;PC-3: 124.0
TFF3	HITF, ITF	ENSG00000160180	Trefoil factor 3	21	42311667-42315651	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB020681, HPA035464	Enhanced		Approved	Nucleus<br>Nucleoli	Endometrial cancer:5.60e-6 (favourable)	Expressed in all	Tissue enhanced		cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1	small intestine: 457.0	Cell line enhanced		MCF7: 63.2;SCLC-21H: 28.3;T-47d: 35.0;TIME: 85.5
TFPI	EPI, LACI, TFI, TFPI1	ENSG00000003436	Tissue factor pathway inhibitor	2	187464230-187565760	Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA005575, CAB020842	Supported		Approved	Intermediate filaments<br>Cytosol	Cervical cancer:2.02e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 267.0	Cell line enhanced		HHSteC: 309.8;HUVEC TERT2: 601.4;LHCN-M2: 367.6;TIME: 354.9
TFPI2	PP5, REF1, TFPI-2	ENSG00000105825	Tissue factor pathway inhibitor 2	7	93885397-93890991	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB010142, HPA049158	Enhanced				Breast cancer:8.33e-7 (favourable), Endometrial cancer:5.42e-4 (favourable), Renal cancer:8.53e-4 (unfavourable)	Expressed in all	Tissue enriched	23	placenta: 1208.2	ovary: 52.0	Cell line enhanced		EFO-21: 1987.5;hTEC/SVTERT24-B: 1055.6;U-138 MG: 999.0;U-2197: 850.7;U-87 MG: 1680.0
TG	AITD3, TGN	ENSG00000042832	Thyroglobulin	8	132866958-133134903	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000077, HPA002740, CAB056155	Enhanced					Tissue enriched	Tissue enriched	1104	thyroid gland: 15620.0	gallbladder: 14.1	Cell line enhanced		HDLM-2: 1.9;Karpas-707: 4.0;PC-3: 2.6
TGFB1	CED, DPD1, TGFB, TGFbeta	ENSG00000105329	Transforming growth factor beta 1	19	41301587-41353911	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000361, CAB073543	Approved		Uncertain	Cytosol	Renal cancer:1.19e-8 (unfavourable), Head and neck cancer:3.38e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 83.5	Mixed		
TGFB2		ENSG00000092969	Transforming growth factor beta 2	1	218346235-218444619	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level							Expressed in all	Tissue enhanced		prostate: 30.4	placenta: 20.4	Cell line enhanced		EFO-21: 58.6;U-2 OS: 64.1
TGFB3	ARVD, ARVD1	ENSG00000119699	Transforming growth factor beta 3	14	75958099-75982991	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA063582			Approved	Vesicles	Renal cancer:4.01e-7 (unfavourable)	Expressed in all	Mixed			placenta: 84.9	Group enriched	5	SCLC-21H: 28.0;SK-BR-3: 99.2;T-47d: 87.5
TGFBI	BIGH3, CDB1, CDGG1, CSD1, CSD2, CSD3, LCD1	ENSG00000120708	Transforming growth factor beta induced	5	136028895-136063818	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008612, HPA017019	Enhanced				Renal cancer:7.82e-10 (unfavourable), Cervical cancer:1.03e-5 (unfavourable), Ovarian cancer:1.14e-5 (unfavourable), Endometrial cancer:1.17e-4 (favourable)	Expressed in all	Expressed in all			placenta: 607.8	Cell line enhanced		fHDF/TERT166: 2100.5;HSkMC: 1955.4;U-87 MG: 3543.6
TGFBR1	ACVRLK4, ALK-5, ALK5, ESS1, MSSE	ENSG00000106799	Transforming growth factor beta receptor 1	9	99104038-99154192	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002441, CAB031481, HPA056473	Uncertain		Supported	Vesicles<br>Plasma membrane		Expressed in all	Expressed in all			placenta: 69.8	Expressed in all		
TGFBR3	betaglycan, BGCAN	ENSG00000069702	Transforming growth factor beta receptor 3	1	91680343-91906335	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008257, CAB018971	Supported		Uncertain	Cytosol	Thyroid cancer:3.14e-4 (unfavourable), Endometrial cancer:3.36e-4 (unfavourable), Head and neck cancer:4.84e-4 (favourable), Renal cancer:4.99e-4 (favourable)	Expressed in all	Expressed in all			ovary: 99.9	Cell line enhanced		ASC diff: 152.4;ASC TERT1: 75.3;U-2197: 71.9
THBS1	THBS, THBS-1, TSP, TSP-1, TSP1	ENSG00000137801	Thrombospondin 1	15	39581079-39599466	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB033678, HPA059756	Approved		Approved	Plasma membrane	Renal cancer:8.47e-5 (unfavourable), Stomach cancer:8.50e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 573.9	Cell line enhanced		fHDF/TERT166: 2033.2;HUVEC TERT2: 2095.4;TIME: 3015.4
THBS2	TSP2	ENSG00000186340	Thrombospondin 2	6	169215780-169254044	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB017716, HPA044304	Approved		Approved	Nuclear speckles<br>Plasma membrane<br>Cytosol	Renal cancer:3.77e-6 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 113.4	endometrium: 71.2	Cell line enhanced		ASC diff: 282.6;ASC TERT1: 196.5;BJ hTERT+ SV40 Large T+ RasG12V: 134.9;hTEC/SVTERT24-B: 150.4
THBS3		ENSG00000169231	Thrombospondin 3	1	155195588-155209051	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA006293, HPA073242	Approved		Approved	Vesicles	Renal cancer:2.38e-12 (unfavourable), Endometrial cancer:1.44e-4 (unfavourable), Colorectal cancer:2.43e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 41.6	Cell line enhanced		SCLC-21H: 49.1
THBS4		ENSG00000113296	Thrombospondin 4	5	79991311-80083287	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB004597, HPA042426	Approved		Approved	Vesicles	Urothelial cancer:3.33e-4 (unfavourable)	Expressed in all	Group enriched	6	adipose tissue: 234.3;heart muscle: 113.6;smooth muscle: 388.9	thyroid gland: 44.6	Cell line enhanced		AF22: 3.1;SCLC-21H: 2.9;THP-1: 4.7;U-2 OS: 3.0
THOC3	MGC5469, TEX1	ENSG00000051596	THO complex 3	5	175917873-176034680	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042764, HPA044009, HPA045071	Approved		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			epididymis: 77.2	Expressed in all		
THPO	MGDF, MPLLG, TPO	ENSG00000090534	Thrombopoietin	3	184371935-184378144	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level						Renal cancer:2.48e-6 (unfavourable)	Tissue enriched	Tissue enhanced		liver: 8.9	testis: 3.9	Cell line enhanced		CACO-2: 4.9;Hep G2: 10.6;K-562: 2.5;RPMI-8226: 2.8
THSD4	ADAMTSL6, FLJ13710, FVSY9334, PRO34005	ENSG00000187720	Thrombospondin type 1 domain containing 4	15	71096952-71783383	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA026845			Approved	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		cervix, uterine: 160.5	fallopian tube: 59.6	Cell line enhanced		BJ hTERT+: 43.1;TIME: 54.2
THY1	CD90	ENSG00000154096	Thy-1 cell surface antigen	11	119417378-119424985	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA003733, CAB068243, CAB068244	Enhanced		Approved	Nucleus<br>Plasma membrane	Renal cancer:2.40e-6 (unfavourable), Glioma:9.64e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 421.8;smooth muscle: 434.2	gallbladder: 161.0	Cell line enhanced		BJ: 643.3;BJ hTERT+: 686.4;fHDF/TERT166: 1040.5
TIE1	JTK14, TIE	ENSG00000066056	Tyrosine kinase with immunoglobulin like and EGF like domains 1	1	43300993-43323108	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Tissue enhanced		placenta: 70.6	lung: 40.1	Cell line enhanced		EFO-21: 100.1;HUVEC TERT2: 199.8;TIME: 171.4
TIMMDC1	C3orf1, FLJ22597	ENSG00000113845	Translocase of inner mitochondrial membrane domain containing 1	3	119498532-119525090	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA053214, HPA055846	Uncertain		Enhanced	Nucleus<br>Mitochondria	Liver cancer:1.12e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 31.5	Expressed in all		
TIMP1	CLGI, EPO, TIMP	ENSG00000102265	TIMP metallopeptidase inhibitor 1	X	47582313-47586789	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB022360, HPA053417	Approved		Approved	Golgi apparatus	Renal cancer:2.90e-11 (unfavourable), Colorectal cancer:2.09e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 2036.7	Expressed in all		
TIMP2	CSC-21K	ENSG00000035862	TIMP metallopeptidase inhibitor 2	17	78852977-78925387	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB010203	Approved					Expressed in all	Expressed in all			ovary: 1178.9	Cell line enhanced		ASC TERT1: 1134.2
TIMP3	SFD	ENSG00000100234	TIMP metallopeptidase inhibitor 3	22	32801701-32863043	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level						Ovarian cancer:1.90e-5 (unfavourable), Renal cancer:1.50e-4 (favourable)	Mixed	Tissue enhanced		placenta: 1439.9	adipose tissue: 729.9	Cell line enhanced		BJ: 988.6;fHDF/TERT166: 830.6;WM-115: 879.2
TIMP4		ENSG00000157150	TIMP metallopeptidase inhibitor 4	3	12153051-12159351	Plasma proteins, Predicted secreted proteins	Evidence at transcript level							Tissue enriched	Tissue enriched	5	adipose tissue: 138.8	cerebral cortex: 27.5	Cell line enhanced		ASC diff: 99.5;HSkMC: 45.7;NTERA-2: 37.0;U-87 MG: 36.7
TINAGL1	ARG1, LCN7, LIECG3, P3ECSL, TINAGRP	ENSG00000142910	Tubulointerstitial nephritis antigen like 1	1	31576485-31587686	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA048695	Approved				Renal cancer:3.65e-6 (favourable), Thyroid cancer:9.64e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 268.9	adipose tissue: 102.6	Cell line enhanced		BEWO: 313.9;EFO-21: 383.9;TIME: 309.9
TLL2		ENSG00000095587	Tolloid like 2	10	96364606-96513918	Enzymes, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		cerebral cortex: 1.9	heart muscle: 1.0	Cell line enriched	8	RPTEC TERT1: 15.3
TLR1	CD281, KIAA0012, rsc786	ENSG00000174125	Toll like receptor 1	4	38790677-38856817	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Mixed			appendix: 37.2	Cell line enhanced		Daudi: 8.0;HUVEC TERT2: 10.5;RPMI-8226: 9.8;U-698: 14.4
TLR3	CD283	ENSG00000164342	Toll like receptor 3	4	186069152-186088069	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025658	Enhanced				Pancreatic cancer:3.09e-4 (unfavourable)	Mixed	Mixed			placenta: 24.5	Cell line enhanced		BJ hTERT+ SV40 Large T+ RasG12V: 29.4;CAPAN-2: 42.4
TM2D3	BLP2, FLJ22604	ENSG00000184277	TM2 domain containing 3	15	101621444-101652391	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054064	Uncertain		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			cerebral cortex: 97.2	Expressed in all		
TM7SF3		ENSG00000064115	Transmembrane 7 superfamily member 3	12	26973195-27014434	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA057640			Supported	Nucleus<br>Cytosol	Renal cancer:1.32e-4 (favourable)	Expressed in all	Expressed in all			kidney: 190.9	Expressed in all		
TM9SF1	HMP70, MP70	ENSG00000100926	Transmembrane 9 superfamily member 1	14	24189143-24195687	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA059249	Supported		Approved	Golgi apparatus	Lung cancer:2.04e-4 (unfavourable), Cervical cancer:8.94e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 73.0	Expressed in all		
TMED1	Il1rl1l, IL1RL1LG, MGC1270, p24g1, p24gamma1, ST2L	ENSG00000099203	Transmembrane p24 trafficking protein 1	19	10832438-10836318	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA018507	Uncertain				Renal cancer:8.66e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 47.6	Expressed in all		
TMED2	P24A, p24b1, p24beta1, RNP24	ENSG00000086598	Transmembrane p24 trafficking protein 2	12	123584531-123598577	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA014060	Approved		Supported	Vesicles	Renal cancer:2.35e-7 (unfavourable), Head and neck cancer:3.36e-6 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 328.1	Expressed in all		
TMED3	C15orf22, p24B, p24g4, p24gamma4	ENSG00000166557	Transmembrane p24 trafficking protein 3	15	79311062-79427432	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA049314, HPA076949	Approved		Supported	Golgi apparatus	Renal cancer:3.73e-4 (unfavourable), Breast cancer:7.71e-4 (unfavourable)	Expressed in all	Mixed			salivary gland: 163.2	Mixed		
TMED4	HNLF, p24a3, p24alpha3	ENSG00000158604	Transmembrane p24 trafficking protein 4	7	44577894-44582287	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014650	Approved				Renal cancer:1.37e-4 (favourable), Endometrial cancer:7.37e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 190.7	Expressed in all		
TMED5	CGI-100, p24g2, p24gamma2	ENSG00000117500	Transmembrane p24 trafficking protein 5	1	93149742-93180728	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050289	Approved					Expressed in all	Expressed in all			kidney: 28.2	Expressed in all		
TMED7	CGI-109, FLJ90481, p24g3, p24gamma3	ENSG00000134970	Transmembrane p24 trafficking protein 7	5	115613508-115632992	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008960, CAB025883	Supported					Expressed in all	Expressed in all			thyroid gland: 138.8	Expressed in all		
TMED7-TICAM2		ENSG00000251201	TMED7-TICAM2 readthrough	5	115578642-115626161	Predicted secreted proteins	Evidence at protein level	HPA008960	Uncertain					Not detected	Mixed			placenta: 4.7	Mixed		
TMEM108	CT124, MGC3040	ENSG00000144868	Transmembrane protein 108	3	133038391-133397792	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA063350	Uncertain		Approved	Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol		Tissue enhanced	Tissue enhanced		cerebral cortex: 21.9;testis: 25.8	adrenal gland: 15.0	Cell line enhanced		HMC-1: 21.3;SCLC-21H: 24.8;SH-SY5Y: 98.2
