"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"TCTN3",94,"B12","IOH40116",1824,"0",NA,"tectonic family member 3 (TCTN3), transcript variant 1, mRNA.","NM_015631.5","NP_056446.4",26123,"Hs.438991","C10orf61, DKFZP564D116, JBTS18, TECT3","ENSG00000119977","Tectonic family member 3","10","95663396-95694143","Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA026987","Approved",NA,"Approved","Microtubules","Endometrial cancer:5.77e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 138.1","Expressed in all",NA,NA
"TEX101",24,"H8","IOH5206",750,"0",NA,"testis expressed 101 (TEX101), transcript variant 2, mRNA.","NM_001130011.1","NP_001123483.1",83639,"Hs.97978","CT131, MGC4766, SGRG, SPATA44","ENSG00000131126","Testis expressed 101","19","43401496-43418597","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA041915, HPA042513","Enhanced",NA,NA,NA,NA,"Mixed","Tissue enriched",108,"testis: 173.9","skin: 1.6","Not detected",NA,NA
"TEX101",97,"B10","IOH40580",804,"0",NA,"testis expressed 101, mRNA (cDNA clone MGC:4766 IMAGE:3538494), complete cds","BC001861.2","AAH01861.2",83639,"Hs.97978","CT131, MGC4766, SGRG, SPATA44","ENSG00000131126","Testis expressed 101","19","43401496-43418597","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA041915, HPA042513","Enhanced",NA,NA,NA,NA,"Mixed","Tissue enriched",108,"testis: 173.9","skin: 1.6","Not detected",NA,NA
"TEX2",72,"A12","IOH27477",3405,"0",NA,"testis expressed 2, mRNA (cDNA clone MGC:39510 IMAGE:4837394), complete cds","BC040521.1","AAH40521.1",55852,"Hs.175414","HT008, KIAA1738, TMEM96","ENSG00000136478","Testis expressed 2","17","64147227-64263301","Predicted intracellular proteins, Predicted membrane proteins","Evidence at protein level","HPA020648, HPA057116","Approved",NA,"Approved","Nucleus","Colorectal cancer:3.90e-6 (favourable)","Expressed in all","Expressed in all",NA,NA,"testis: 99.6","Expressed in all",NA,NA
"TF",137,"E8","IOH55628",2097,"0",NA,"transferrin (TF), mRNA.","NM_001063.2","NP_001054.1",7018,"Hs.518267","PRO1557, PRO2086","ENSG00000091513","Transferrin","3","133745956-133779006","Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001527, HPA005692, CAB009538","Enhanced",NA,"Uncertain","Mitochondria","Renal cancer:2.35e-13 (unfavourable), Breast cancer:4.05e-4 (favourable)","Tissue enriched","Tissue enriched",14,"liver: 5391.9","cerebral cortex: 385.9","Cell line enriched",50,"Hep G2: 842.8"
"TF",69,"B4","IOH29256",2097,"0",NA,"transferrin, mRNA (cDNA clone MGC:71545 IMAGE:5264299), complete cds","BC059367.1","AAH59367.1",7018,"Hs.518267","PRO1557, PRO2086","ENSG00000091513","Transferrin","3","133745956-133779006","Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001527, HPA005692, CAB009538","Enhanced",NA,"Uncertain","Mitochondria","Renal cancer:2.35e-13 (unfavourable), Breast cancer:4.05e-4 (favourable)","Tissue enriched","Tissue enriched",14,"liver: 5391.9","cerebral cortex: 385.9","Cell line enriched",50,"Hep G2: 842.8"
"TFAM",107,"A2","IOH42148",741,"0",NA,"transcription factor A, mitochondrial (TFAM), nuclear gene encoding mitochondrial protein, mRNA.","NM_003201.1","NP_003192.1",7019,"Hs.642966","TCF6, TCF6L2","ENSG00000108064","Transcription factor A, mitochondrial","10","58385022-58399221","Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors","Evidence at protein level","HPA040648, HPA063684","Supported",NA,"Enhanced","Mitochondria","Renal cancer:2.22e-5 (favourable), Ovarian cancer:2.74e-4 (favourable), Endometrial cancer:8.73e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"testis: 62.3","Expressed in all",NA,NA
"TFF1",39,"B1","IOH21839",255,"0",NA,"trefoil factor 1 (TFF1), mRNA.","NM_003225.2","NP_003216.1",7031,"Hs.162807","BCEI, D21S21, HP1.A, HPS2, pNR-2, pS2","ENSG00000160182","Trefoil factor 1","21","42362282-42366594","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB002170, HPA003425","Enhanced",NA,NA,NA,"Breast cancer:5.00e-4 (favourable), Endometrial cancer:5.67e-4 (favourable)","Group enriched","Tissue enriched",32,"stomach: 6419.9","gallbladder: 203.1","Cell line enriched",49,"MCF7: 8447.1"
"TFF2",39,"F6","IOH21844",390,"0",NA,"trefoil factor 2 (TFF2), mRNA.","NM_005423.4","NP_005414.1",7032,"Hs.2979","SML1","ENSG00000160181","Trefoil factor 2","21","42346357-42351128","Cancer-related genes, Predicted secreted proteins","Evidence at protein level","CAB025834, HPA036705","Enhanced",NA,NA,NA,"Liver cancer:1.99e-4 (unfavourable)","Group enriched","Group enriched",29,"duodenum: 1027.1;stomach: 5110.7","gallbladder: 107.1","Group enriched",20,"CAPAN-2: 32.8;PC-3: 124.0"
"TFF3",138,"C10","IOH58738",393,"0",NA,"trefoil factor 3 (intestinal) (TFF3), mRNA.","NM_003226.2","NP_003217.2",7033,"Hs.82961","HITF, ITF","ENSG00000160180","Trefoil factor 3","21","42311667-42315651","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB020681, HPA035464","Enhanced",NA,"Approved","Nucleus<br>Nucleoli","Endometrial cancer:5.60e-6 (favourable)","Expressed in all","Tissue enhanced",NA,"cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1","small intestine: 457.0","Cell line enhanced",NA,"MCF7: 63.2;SCLC-21H: 28.3;T-47d: 35.0;TIME: 85.5"
"TFF3",7,"H6","IOH13105",222,"0",NA,"trefoil factor 3 (intestinal), mRNA (cDNA clone MGC:22588 IMAGE:4696566), complete cds","BC017859.1","AAH17859.1",7033,"Hs.82961","HITF, ITF","ENSG00000160180","Trefoil factor 3","21","42311667-42315651","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB020681, HPA035464","Enhanced",NA,"Approved","Nucleus<br>Nucleoli","Endometrial cancer:5.60e-6 (favourable)","Expressed in all","Tissue enhanced",NA,"cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1","small intestine: 457.0","Cell line enhanced",NA,"MCF7: 63.2;SCLC-21H: 28.3;T-47d: 35.0;TIME: 85.5"
"TFPI",143,"C7","IOH59292",915,"0",NA,"tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI), transcript variant 1, mRNA.","NM_006287.4","NP_006278.1",7035,"Hs.516578","EPI, LACI, TFI, TFPI1","ENSG00000003436","Tissue factor pathway inhibitor","2","187464230-187565760","Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA005575, CAB020842","Supported",NA,"Approved","Intermediate filaments<br>Cytosol","Cervical cancer:2.02e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 267.0","Cell line enhanced",NA,"HHSteC: 309.8;HUVEC TERT2: 601.4;LHCN-M2: 367.6;TIME: 354.9"
"TFPI",19,"E3","IOH11731",756,"0",NA,"tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI), transcript variant 2, mRNA.","NM_001032281.2","NP_001027452.1",7035,"Hs.516578","EPI, LACI, TFI, TFPI1","ENSG00000003436","Tissue factor pathway inhibitor","2","187464230-187565760","Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA005575, CAB020842","Supported",NA,"Approved","Intermediate filaments<br>Cytosol","Cervical cancer:2.02e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 267.0","Cell line enhanced",NA,"HHSteC: 309.8;HUVEC TERT2: 601.4;LHCN-M2: 367.6;TIME: 354.9"
"TFPI2",89,"A11","IOH7275",708,"0",NA,"tissue factor pathway inhibitor 2 (TFPI2), mRNA.","NM_006528.2","NP_006519.1",7980,"Hs.438231","PP5, REF1, TFPI-2","ENSG00000105825","Tissue factor pathway inhibitor 2","7","93885397-93890991","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB010142, HPA049158","Enhanced",NA,NA,NA,"Breast cancer:8.33e-7 (favourable), Endometrial cancer:5.42e-4 (favourable), Renal cancer:8.53e-4 (unfavourable)","Expressed in all","Tissue enriched",23,"placenta: 1208.2","ovary: 52.0","Cell line enhanced",NA,"EFO-21: 1987.5;hTEC/SVTERT24-B: 1055.6;U-138 MG: 999.0;U-2197: 850.7;U-87 MG: 1680.0"
"TGFB1",92,"D9","IOH4479",1173,"0",NA,"transforming growth factor, beta 1, mRNA (cDNA clone MGC:2323 IMAGE:3356605), complete cds","BC001180.1","AAH01180.1",7040,"Hs.645227","CED, DPD1, TGFB, TGFbeta","ENSG00000105329","Transforming growth factor beta 1","19","41301587-41353911","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB000361, CAB073543","Approved",NA,"Uncertain","Cytosol","Renal cancer:1.19e-8 (unfavourable), Head and neck cancer:3.38e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"spleen: 83.5","Mixed",NA,NA
"TGFB2",111,"G8","IOH42941",1245,"0",NA,"transforming growth factor, beta 2 (TGFB2), transcript variant 2, mRNA.","NM_003238.2","NP_003229.1",7042,"Hs.133379",NA,"ENSG00000092969","Transforming growth factor beta 2","1","218346235-218444619","Cancer-related genes, Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Tissue enhanced",NA,"prostate: 30.4","placenta: 20.4","Cell line enhanced",NA,"EFO-21: 58.6;U-2 OS: 64.1"
"TGFBI",25,"B11","IOH5136",2052,"0",NA,"transforming growth factor, beta-induced, 68kDa (TGFBI), mRNA.","NM_000358.2","NP_000349.1",7045,"Hs.369397","BIGH3, CDB1, CDGG1, CSD1, CSD2, CSD3, LCD1","ENSG00000120708","Transforming growth factor beta induced","5","136028895-136063818","Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA008612, HPA017019","Enhanced",NA,NA,NA,"Renal cancer:7.82e-10 (unfavourable), Cervical cancer:1.03e-5 (unfavourable), Ovarian cancer:1.14e-5 (unfavourable), Endometrial cancer:1.17e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 607.8","Cell line enhanced",NA,"fHDF/TERT166: 2100.5;HSkMC: 1955.4;U-87 MG: 3543.6"
"THBS1",113,"G10","IOH42568",3513,"0",NA,"thrombospondin 1 (THBS1), mRNA.","NM_003246.2","NP_003237.2",7057,"Hs.164226","THBS, THBS-1, TSP, TSP-1, TSP1","ENSG00000137801","Thrombospondin 1","15","39581079-39599466","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB033678, HPA059756","Approved",NA,"Approved","Plasma membrane","Renal cancer:8.47e-5 (unfavourable), Stomach cancer:8.50e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"appendix: 573.9","Cell line enhanced",NA,"fHDF/TERT166: 2033.2;HUVEC TERT2: 2095.4;TIME: 3015.4"
"THBS4",68,"E1","IOH26721",2886,"0",NA,"thrombospondin 4 (THBS4), mRNA.","NM_003248.3","NP_003239.2",7060,"Hs.211426",NA,"ENSG00000113296","Thrombospondin 4","5","79991311-80083287","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB004597, HPA042426","Approved",NA,"Approved","Vesicles","Urothelial cancer:3.33e-4 (unfavourable)","Expressed in all","Group enriched",6,"adipose tissue: 234.3;heart muscle: 113.6;smooth muscle: 388.9","thyroid gland: 44.6","Cell line enhanced",NA,"AF22: 3.1;SCLC-21H: 2.9;THP-1: 4.7;U-2 OS: 3.0"
"THOC3",92,"B5","IOH3160",1056,"0",NA,"THO complex 3 (THOC3), mRNA.","NM_032361.2","NP_115737.1",84321,"Hs.484227","MGC5469, TEX1","ENSG00000051596","THO complex 3","5","175917873-176034680","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA042764, HPA044009, HPA045071","Approved",NA,"Enhanced","Nucleoplasm",NA,"Expressed in all","Expressed in all",NA,NA,"epididymis: 77.2","Expressed in all",NA,NA
"THOC3",156,"E11","IOH61690",984,"0",NA,"THO complex 3, mRNA (cDNA clone MGC:87234 IMAGE:5303134), complete cds","BC066325.1","AAH66325.1",84321,"Hs.484227","MGC5469, TEX1","ENSG00000051596","THO complex 3","5","175917873-176034680","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA042764, HPA044009, HPA045071","Approved",NA,"Enhanced","Nucleoplasm",NA,"Expressed in all","Expressed in all",NA,NA,"epididymis: 77.2","Expressed in all",NA,NA
"THPO",140,"H6","IOH53592",1050,"0",NA,"thrombopoietin, mRNA (cDNA clone MGC:163194 IMAGE:40146353), complete cds","BC130322.1","AAI30323.1",7066,"Hs.1166","MGDF, MPLLG, TPO","ENSG00000090534","Thrombopoietin","3","184371935-184378144","Cancer-related genes, Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Renal cancer:2.48e-6 (unfavourable)","Tissue enriched","Tissue enhanced",NA,"liver: 8.9","testis: 3.9","Cell line enhanced",NA,"CACO-2: 4.9;Hep G2: 10.6;K-562: 2.5;RPMI-8226: 2.8"
"TIMP1",26,"F12","IOH3196",624,"0",NA,"TIMP metallopeptidase inhibitor 1 (TIMP1), mRNA.","NM_003254.2","NP_003245.1",7076,"Hs.522632","CLGI, EPO, TIMP","ENSG00000102265","TIMP metallopeptidase inhibitor 1","X","47582313-47586789","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB022360, HPA053417","Approved",NA,"Approved","Golgi apparatus","Renal cancer:2.90e-11 (unfavourable), Colorectal cancer:2.09e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"appendix: 2036.7","Expressed in all",NA,NA
"TIMP2",71,"A12","IOH29379",663,"0",NA,"TIMP metallopeptidase inhibitor 2 (TIMP2), mRNA.","NM_003255.4","NP_003246.1",7077,"Hs.633514","CSC-21K","ENSG00000035862","TIMP metallopeptidase inhibitor 2","17","78852977-78925387","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB010203","Approved",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"ovary: 1178.9","Cell line enhanced",NA,"ASC TERT1: 1134.2"
"TIMP3",132,"F5","IOH29847",636,"0",NA,"TIMP metallopeptidase inhibitor 3 (TIMP3), mRNA.","NM_000362.4","NP_000353.1",7078,"Hs.644633","SFD","ENSG00000100234","TIMP metallopeptidase inhibitor 3","22","32801701-32863043","Cancer-related genes, Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Ovarian cancer:1.90e-5 (unfavourable), Renal cancer:1.50e-4 (favourable)","Mixed","Tissue enhanced",NA,"placenta: 1439.9","adipose tissue: 729.9","Cell line enhanced",NA,"BJ: 988.6;fHDF/TERT166: 830.6;WM-115: 879.2"
"TIMP4",36,"F9","IOH10243",675,"0",NA,"TIMP metallopeptidase inhibitor 4 (TIMP4), mRNA.","NM_003256.2","NP_003247.1",7079,"Hs.591665",NA,"ENSG00000157150","TIMP metallopeptidase inhibitor 4","3","12153051-12159351","Plasma proteins, Predicted secreted proteins","Evidence at transcript level",NA,NA,NA,NA,NA,NA,"Tissue enriched","Tissue enriched",5,"adipose tissue: 138.8","cerebral cortex: 27.5","Cell line enhanced",NA,"ASC diff: 99.5;HSkMC: 45.7;NTERA-2: 37.0;U-87 MG: 36.7"
"TINAGL1",95,"E11","IOH39923",1404,"0",NA,"tubulointerstitial nephritis antigen-like 1 (TINAGL1), mRNA.","NM_022164.2","NP_071447.1",64129,"Hs.199368","ARG1, LCN7, LIECG3, P3ECSL, TINAGRP","ENSG00000142910","Tubulointerstitial nephritis antigen like 1","1","31576485-31587686","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA048695","Approved",NA,NA,NA,"Renal cancer:3.65e-6 (favourable), Thyroid cancer:9.64e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"placenta: 268.9","adipose tissue: 102.6","Cell line enhanced",NA,"BEWO: 313.9;EFO-21: 383.9;TIME: 309.9"
"TINAGL1",5,"B6","IOH3342",657,"0",NA,"tubulointerstitial nephritis antigen-like 1, mRNA (cDNA clone IMAGE:3852606), complete cds.","BC009048.1","AAH09048.1",64129,"Hs.199368","ARG1, LCN7, LIECG3, P3ECSL, TINAGRP","ENSG00000142910","Tubulointerstitial nephritis antigen like 1","1","31576485-31587686","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA048695","Approved",NA,NA,NA,"Renal cancer:3.65e-6 (favourable), Thyroid cancer:9.64e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"placenta: 268.9","adipose tissue: 102.6","Cell line enhanced",NA,"BEWO: 313.9;EFO-21: 383.9;TIME: 309.9"
"TLR1",114,"H2","IOH42640",2361,"0",NA,"toll-like receptor 1 (TLR1), mRNA.","NM_003263.3","NP_003254.2",7096,"Hs.621817","CD281, KIAA0012, rsc786","ENSG00000174125","Toll like receptor 1","4","38790677-38856817","CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Mixed",NA,NA,"appendix: 37.2","Cell line enhanced",NA,"Daudi: 8.0;HUVEC TERT2: 10.5;RPMI-8226: 9.8;U-698: 14.4"
"TLR1",154,"B10","IOH62701",2361,"0",NA,"toll-like receptor 1, mRNA (cDNA clone MGC:104956 IMAGE:3063206), complete cds","BC089403.1","AAH89403.1",7096,"Hs.621817","CD281, KIAA0012, rsc786","ENSG00000174125","Toll like receptor 1","4","38790677-38856817","CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Mixed",NA,NA,"appendix: 37.2","Cell line enhanced",NA,"Daudi: 8.0;HUVEC TERT2: 10.5;RPMI-8226: 9.8;U-698: 14.4"
"TLR3",154,"G6","IOH62689",2715,"NP_003256.1","AAH94737.1","toll-like receptor 3, mRNA (cDNA clone MGC:104573 IMAGE:30531515), complete cds","BC094737.1","AAH94737.1",7098,"Hs.657724","CD283","ENSG00000164342","Toll like receptor 3","4","186069152-186088069","CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB025658","Enhanced",NA,NA,NA,"Pancreatic cancer:3.09e-4 (unfavourable)","Mixed","Mixed",NA,NA,"placenta: 24.5","Cell line enhanced",NA,"BJ hTERT+ SV40 Large T+ RasG12V: 29.4;CAPAN-2: 42.4"
"TM2D3",136,"H2","IOH57035",666,"NP_079417.1","AAH08873.1","TM2 domain containing 3, mRNA (cDNA clone MGC:14889 IMAGE:4137334), complete cds","BC008873.2","AAH08873.1",80213,"Hs.288912","BLP2, FLJ22604","ENSG00000184277","TM2 domain containing 3","15","101621444-101652391","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA054064","Uncertain",NA,"Approved","Nucleoplasm<br>Cytosol",NA,"Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 97.2","Expressed in all",NA,NA
"TM9SF1",13,"E8","IOH9944",1821,"NP_006396.2","NP_006396.2","transmembrane 9 superfamily member 1 (TM9SF1), transcript variant 1, mRNA.","NM_006405.5","NP_006396.2",10548,"Hs.91586","HMP70, MP70","ENSG00000100926","Transmembrane 9 superfamily member 1","14","24189143-24195687","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA059249","Supported",NA,"Approved","Golgi apparatus","Lung cancer:2.04e-4 (unfavourable), Cervical cancer:8.94e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 73.0","Expressed in all",NA,NA
"TMED1",92,"B9","IOH4254",684,"NP_006849.1","NP_006849.1","transmembrane emp24 protein transport domain containing 1 (TMED1), mRNA.","NM_006858.2","NP_006849.1",11018,"Hs.515139","Il1rl1l, IL1RL1LG, MGC1270, p24g1, p24gamma1, ST2L","ENSG00000099203","Transmembrane p24 trafficking protein 1","19","10832438-10836318","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA018507","Uncertain",NA,NA,NA,"Renal cancer:8.66e-5 (favourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 47.6","Expressed in all",NA,NA
"TMED2",15,"D2","IOH14559",606,"NP_006806.1","NP_006806.1","transmembrane emp24 domain trafficking protein 2 (TMED2), mRNA.","NM_006815.3","NP_006806.1",10959,"Hs.75914","P24A, p24b1, p24beta1, RNP24","ENSG00000086598","Transmembrane p24 trafficking protein 2","12","123584531-123598577","Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA014060","Approved",NA,"Supported","Vesicles","Renal cancer:2.35e-7 (unfavourable), Head and neck cancer:3.36e-6 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 328.1","Expressed in all",NA,NA
"TMED3",12,"D12","IOH10137",654,"0","NP_031390.1","transmembrane emp24 protein transport domain containing 3 (TMED3), mRNA.","NM_007364.2","NP_031390.1",23423,"Hs.513058","C15orf22, p24B, p24g4, p24gamma4","ENSG00000166557","Transmembrane p24 trafficking protein 3","15","79311062-79427432","Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA049314, HPA076949","Approved",NA,"Supported","Golgi apparatus","Renal cancer:3.73e-4 (unfavourable), Breast cancer:7.71e-4 (unfavourable)","Expressed in all","Mixed",NA,NA,"salivary gland: 163.2","Mixed",NA,NA
"TMED4",67,"A3","IOH28950",684,"XP_166556.1","NP_872353.2","transmembrane emp24 protein transport domain containing 4 (TMED4), mRNA.","NM_182547.2","NP_872353.2",222068,"Hs.598832","HNLF, p24a3, p24alpha3","ENSG00000158604","Transmembrane p24 trafficking protein 4","7","44577894-44582287","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA014650","Approved",NA,NA,NA,"Renal cancer:1.37e-4 (favourable), Endometrial cancer:7.37e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 190.7","Expressed in all",NA,NA
"TMED5",64,"B12","IOH27881",690,"0","AAH16365.1","transmembrane emp24 protein transport domain containing 5, mRNA (cDNA clone MGC:24580 IMAGE:4133205), complete cds","BC016365.1","AAH16365.1",50999,"Hs.482873","CGI-100, p24g2, p24gamma2","ENSG00000117500","Transmembrane p24 trafficking protein 5","1","93149742-93180728","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA050289","Approved",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"kidney: 28.2","Expressed in all",NA,NA
"TMED5",148,"D6","IOH62247",519,"0","AAH38511.1","transmembrane emp24 protein transport domain containing 5, mRNA (cDNA clone MGC:43175 IMAGE:5262507), complete cds","BC038511.1","AAH38511.1",50999,"Hs.482873","CGI-100, p24g2, p24gamma2","ENSG00000117500","Transmembrane p24 trafficking protein 5","1","93149742-93180728","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA050289","Approved",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"kidney: 28.2","Expressed in all",NA,NA
"TMED5",30,"H12","IOH11975",690,"NP_057124.2","NP_057124.2","transmembrane emp24 protein transport domain containing 5 (TMED5), mRNA.","NM_016040.3","NP_057124.2",50999,"Hs.482873","CGI-100, p24g2, p24gamma2","ENSG00000117500","Transmembrane p24 trafficking protein 5","1","93149742-93180728","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA050289","Approved",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"kidney: 28.2","Expressed in all",NA,NA
"TMED7",63,"D3","IOH13273",675,"XP_038077.1","NP_861974.1","transmembrane emp24 protein transport domain containing 7 (TMED7), mRNA.","NM_181836.4","NP_861974.1",51014,"Hs.642817","CGI-109, FLJ90481, p24g3, p24gamma3","ENSG00000134970","Transmembrane p24 trafficking protein 7","5","115613508-115632992","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA008960, CAB025883","Supported",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"thyroid gland: 138.8","Expressed in all",NA,NA
"TMEM108",121,"G12","IOH4185",1728,"XP_039805.6","NP_076432.1","transmembrane protein 108 (TMEM108), transcript variant 1, mRNA.","NM_023943.2","NP_076432.1",66000,"Hs.191616","CT124, MGC3040","ENSG00000144868","Transmembrane protein 108","3","133038391-133397792","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA063350","Uncertain",NA,"Approved","Nucleoli<br>Vesicles<br>Plasma membrane<br>Cytosol",NA,"Tissue enhanced","Tissue enhanced",NA,"cerebral cortex: 21.9;testis: 25.8","adrenal gland: 15.0","Cell line enhanced",NA,"HMC-1: 21.3;SCLC-21H: 24.8;SH-SY5Y: 98.2"
"TMEM205",44,"F5","IOH5958",570,"0","NP_940938.1","transmembrane protein 205 (TMEM205), transcript variant 1, mRNA.","NM_198536.2","NP_940938.1",374882,"Hs.8036","MBC3205, UNQ501","ENSG00000105518","Transmembrane protein 205","19","11342776-11346518","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA041504","Approved",NA,"Approved","Nucleoplasm<br>Nuclear membrane<br>Endoplasmic reticulum",NA,"Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 258.0","Expressed in all",NA,NA
"TMEM25",55,"B10","IOH27361",1101,"NP_116169.1","NP_116169.2","transmembrane protein 25 (TMEM25), transcript variant 1, mRNA.","NM_032780.3","NP_116169.2",84866,"Hs.564188","FLJ14399","ENSG00000149582","Transmembrane protein 25","11","118531041-118547280","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA012163, HPA051562","Approved",NA,"Approved","Golgi apparatus<br>Vesicles","Renal cancer:0.00e+0 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 47.0","Cell line enhanced",NA,"T-47d: 41.7"
"TMEM25",65,"H12","IOH28892",969,"0","AAH51841.1","transmembrane protein 25, mRNA (cDNA clone MGC:60150 IMAGE:5725777), complete cds","BC051841.1","AAH51841.1",84866,"Hs.564188","FLJ14399","ENSG00000149582","Transmembrane protein 25","11","118531041-118547280","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA012163, HPA051562","Approved",NA,"Approved","Golgi apparatus<br>Vesicles","Renal cancer:0.00e+0 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 47.0","Cell line enhanced",NA,"T-47d: 41.7"
